127.0.0.1 - - [14/Feb/2025:14:51:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:51:59 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:52:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:32:01 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:32:26 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:32:28 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:32:28 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:32:28 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:36 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:36 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:37 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:37 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:37 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:38 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [14/Feb/2025:15:33:49 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:00:16 +0530] "GET /LMS_SDI/manage.jsp HTTP/1.1" 500 2540
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:00:33 +0530] "GET /LMS_SDI/add.jsp HTTP/1.1" 500 2510
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:00:39 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:00:39 +0530] "GET /LMS_SDI/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:01:25 +0530] "GET /LMS_SDI/add.jsp HTTP/1.1" 500 2510
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:01:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:01:57 +0530] "GET /LMS_SDI/add.jsp HTTP/1.1" 500 2510
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:05:02 +0530] "GET /LMS_SDI/add.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:05:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:05:10 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=add HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:05:13 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=sub HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:08:51 +0530] "GET /LMS_SDI/add.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:08:57 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=sub HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:09:00 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=add HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:09:03 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=sub HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:09:28 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=sub HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:09:31 +0530] "GET /LMS_SDI/add.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [14/Feb/2025:16:09:39 +0530] "GET /LMS_SDI/manage.jsp?f=12&s=12&btn=add HTTP/1.1" 200 8
